ID1,ID2,N_SNP,HetHet,IBS0,Kinship
Nbusc22_02,Nbusc22_30,45322,0.0881,0.0292,0.0556
Nbusc22_03,Nbusc22_04,49476,0.1105,0.0047,0.2055
Nbusc22_03,Nbusc22_05,50672,0.1088,0.0050,0.1998
Nbusc22_04,Nbusc22_05,49372,0.1338,0.0101,0.2285
Nbusc22_04,Nbusc22_07,48933,0.0841,0.0307,0.0443
Nbusc22_06,Nbusc22_07,51085,0.1113,0.0055,0.2007
Nbusc22_06,Nbusc22_08,51343,0.1120,0.0051,0.2042
Nbusc22_06,Nbusc22_30,45972,0.0870,0.0291,0.0553
Nbusc22_07,Nbusc22_08,50945,0.1345,0.0135,0.2124
Nbusc22_07,Nbusc22_30,45452,0.0907,0.0309,0.0499
Nbusc22_08,Nbusc22_30,45540,0.0864,0.0307,0.0453
Nbusc22_09,Nbusc22_10,45236,0.1095,0.0036,0.1925
Nbusc22_09,Nbusc22_11,46442,0.1521,0.0077,0.2596
Nbusc22_09,Nbusc22_12,46558,0.1350,0.0097,0.2211
Nbusc22_09,Nbusc22_16,45820,0.1196,0.0055,0.2098
Nbusc22_09,Nbusc22_17,46958,0.0983,0.0270,0.0733
Nbusc22_09,Nbusc22_18,47370,0.0974,0.0293,0.0503
Nbusc22_09,Nbusc22_19,46500,0.0957,0.0298,0.0489
Nbusc22_09,Nbusc22_23,47102,0.0903,0.0307,0.0518
Nbusc22_09,Nbusc22_32,46672,0.0923,0.0293,0.0507
Nbusc22_10,Nbusc22_11,44591,0.1075,0.0041,0.1865
Nbusc22_10,Nbusc22_12,45024,0.1061,0.0043,0.1929
Nbusc22_11,Nbusc22_12,45953,0.1454,0.0110,0.2366
Nbusc22_11,Nbusc22_16,44984,0.1181,0.0060,0.2047
Nbusc22_11,Nbusc22_17,46136,0.0988,0.0275,0.0754
Nbusc22_11,Nbusc22_18,46266,0.0966,0.0284,0.0529
Nbusc22_11,Nbusc22_19,45641,0.0954,0.0278,0.0521
Nbusc22_11,Nbusc22_23,46087,0.0926,0.0312,0.0549
Nbusc22_11,Nbusc22_32,45478,0.0917,0.0290,0.0501
Nbusc22_12,Nbusc22_16,45205,0.1104,0.0053,0.1978
Nbusc22_12,Nbusc22_17,46299,0.0922,0.0298,0.0608
Nbusc22_12,Nbusc22_19,46148,0.0939,0.0279,0.0444
Nbusc22_12,Nbusc22_23,46524,0.0904,0.0291,0.0567
Nbusc22_12,Nbusc22_32,46028,0.0936,0.0284,0.0505
Nbusc22_14,Nbusc22_18,47930,0.1110,0.0365,0.0506
Nbusc22_14,Nbusc22_19,47071,0.1097,0.0353,0.0593
Nbusc22_14,Nbusc22_20,45905,0.1047,0.0347,0.0569
Nbusc22_14,Nbusc22_24,46527,0.1054,0.0344,0.0499
Nbusc22_14,Nbusc22_25,45919,0.1079,0.0344,0.0551
Nbusc22_14,Nbusc22_26,46615,0.1069,0.0363,0.0481
Nbusc22_14,Nbusc22_32,47155,0.1044,0.0370,0.0487
Nbusc22_15,Nbusc22_18,47517,0.1413,0.0052,0.2321
Nbusc22_15,Nbusc22_19,46983,0.1420,0.0052,0.2339
Nbusc22_15,Nbusc22_20,45700,0.1337,0.0049,0.2256
Nbusc22_15,Nbusc22_21,47580,0.1452,0.0117,0.2221
Nbusc22_15,Nbusc22_24,46311,0.1391,0.0051,0.2268
Nbusc22_15,Nbusc22_25,45682,0.1360,0.0043,0.2258
Nbusc22_15,Nbusc22_26,45979,0.1011,0.0335,0.0541
Nbusc22_15,Nbusc22_27,44647,0.1189,0.0230,0.1270
Nbusc22_15,Nbusc22_30,44022,0.1011,0.0178,0.1078
Nbusc22_15,Nbusc22_32,46539,0.1047,0.0345,0.0627
Nbusc22_16,Nbusc22_17,45589,0.0947,0.0220,0.0952
Nbusc22_16,Nbusc22_18,45824,0.0912,0.0250,0.0492
Nbusc22_16,Nbusc22_19,45271,0.0943,0.0246,0.0604
Nbusc22_16,Nbusc22_23,45795,0.0904,0.0310,0.0510
Nbusc22_16,Nbusc22_32,45300,0.0898,0.0271,0.0522
Nbusc22_17,Nbusc22_18,47729,0.1208,0.0050,0.1865
Nbusc22_17,Nbusc22_19,46738,0.1184,0.0075,0.1740
Nbusc22_17,Nbusc22_22,46343,0.0905,0.0291,0.0583
Nbusc22_18,Nbusc22_19,47196,0.1529,0.0112,0.2285
Nbusc22_18,Nbusc22_20,45867,0.1220,0.0247,0.1246
Nbusc22_18,Nbusc22_21,47741,0.1239,0.0208,0.1378
Nbusc22_18,Nbusc22_24,46632,0.1270,0.0167,0.1618
Nbusc22_18,Nbusc22_25,45863,0.1260,0.0163,0.1635
Nbusc22_18,Nbusc22_26,46568,0.1108,0.0318,0.0803
Nbusc22_18,Nbusc22_27,45155,0.1178,0.0275,0.0994
Nbusc22_18,Nbusc22_30,44541,0.1025,0.0254,0.0698
Nbusc22_18,Nbusc22_32,46874,0.1064,0.0351,0.0549
Nbusc22_19,Nbusc22_20,45302,0.1257,0.0151,0.1678
Nbusc22_19,Nbusc22_21,47021,0.1277,0.0191,0.1556
Nbusc22_19,Nbusc22_22,45967,0.0988,0.0256,0.0659
Nbusc22_19,Nbusc22_24,46009,0.1261,0.0209,0.1430
Nbusc22_19,Nbusc22_25,45361,0.1263,0.0171,0.1608
Nbusc22_19,Nbusc22_26,45658,0.1096,0.0337,0.0727
Nbusc22_19,Nbusc22_27,44652,0.1232,0.0203,0.1376
Nbusc22_19,Nbusc22_30,43865,0.0972,0.0245,0.0661
Nbusc22_19,Nbusc22_32,46170,0.1075,0.0335,0.0642
Nbusc22_20,Nbusc22_21,45868,0.1212,0.0198,0.1453
Nbusc22_20,Nbusc22_23,45989,0.1194,0.0048,0.1952
Nbusc22_20,Nbusc22_24,45159,0.1574,0.0108,0.2373
Nbusc22_20,Nbusc22_25,44516,0.1590,0.0101,0.2451
Nbusc22_20,Nbusc22_26,44638,0.1049,0.0342,0.0625
Nbusc22_20,Nbusc22_27,43251,0.1080,0.0291,0.0794
Nbusc22_20,Nbusc22_30,42638,0.0945,0.0242,0.0692
Nbusc22_20,Nbusc22_32,45094,0.1105,0.0308,0.0849
Nbusc22_21,Nbusc22_24,46476,0.1238,0.0210,0.1358
Nbusc22_21,Nbusc22_25,45725,0.1177,0.0210,0.1287
Nbusc22_21,Nbusc22_26,46243,0.1012,0.0355,0.0447
Nbusc22_21,Nbusc22_27,44948,0.1227,0.0183,0.1551
Nbusc22_21,Nbusc22_30,44536,0.1027,0.0181,0.1133
Nbusc22_21,Nbusc22_32,46785,0.1014,0.0365,0.0474
Nbusc22_22,Nbusc22_27,44234,0.1023,0.0176,0.1253
Nbusc22_23,Nbusc22_24,46668,0.1249,0.0050,0.1955
Nbusc22_23,Nbusc22_25,46117,0.1171,0.0059,0.1837
Nbusc22_23,Nbusc22_30,44342,0.0905,0.0270,0.0626
Nbusc22_23,Nbusc22_32,46756,0.0982,0.0249,0.0787
Nbusc22_24,Nbusc22_25,45186,0.1627,0.0070,0.2612
Nbusc22_24,Nbusc22_26,45279,0.1087,0.0328,0.0708
Nbusc22_24,Nbusc22_27,43993,0.1132,0.0296,0.0782
Nbusc22_24,Nbusc22_30,43295,0.0983,0.0225,0.0717
Nbusc22_24,Nbusc22_32,45877,0.1149,0.0289,0.0928
Nbusc22_25,Nbusc22_26,44650,0.1049,0.0318,0.0715
Nbusc22_25,Nbusc22_27,43366,0.1112,0.0279,0.0833
Nbusc22_25,Nbusc22_30,42883,0.0992,0.0255,0.0652
Nbusc22_25,Nbusc22_32,45065,0.1123,0.0309,0.0833
Nbusc22_26,Nbusc22_32,45858,0.1084,0.0307,0.0773
Nbusc22_27,Nbusc22_30,42215,0.1002,0.0222,0.1005
Nbusc22_27,Nbusc22_32,44425,0.1014,0.0350,0.0483
Nbusc22_30,Nbusc22_32,43657,0.0936,0.0273,0.0541
Nbusc22_02,Nbusc22_48,46197,0.0904,0.0281,0.0615
Nbusc22_02,Nbusc22_49,44953,0.0916,0.0244,0.0857
Nbusc22_03,Nbusc22_49,45241,0.0986,0.0203,0.1150
Nbusc22_03,Nbusc22_50,47197,0.0888,0.0278,0.0659
Nbusc22_04,Nbusc22_39,43479,0.0893,0.0212,0.0872
Nbusc22_04,Nbusc22_49,44065,0.0888,0.0250,0.0761
Nbusc22_04,Nbusc22_50,46039,0.0865,0.0298,0.0518
Nbusc22_05,Nbusc22_39,44495,0.0877,0.0187,0.0926
Nbusc22_05,Nbusc22_49,44883,0.0893,0.0248,0.0792
Nbusc22_05,Nbusc22_50,47013,0.0849,0.0296,0.0476
Nbusc22_06,Nbusc22_47,47245,0.0873,0.0306,0.0467
Nbusc22_08,Nbusc22_42,48614,0.0908,0.0317,0.0475
Nbusc22_08,Nbusc22_47,46911,0.0888,0.0295,0.0534
Nbusc22_08,Nbusc22_49,45004,0.0854,0.0302,0.0470
Nbusc22_09,Nbusc22_34,45190,0.0888,0.0275,0.0472
Nbusc22_09,Nbusc22_41,45988,0.0912,0.0301,0.0493
Nbusc22_09,Nbusc22_42,47033,0.0890,0.0274,0.0637
Nbusc22_09,Nbusc22_43,45902,0.0888,0.0289,0.0568
Nbusc22_09,Nbusc22_44,46563,0.0865,0.0284,0.0556
Nbusc22_09,Nbusc22_45,46421,0.0875,0.0270,0.0604
Nbusc22_09,Nbusc22_47,45390,0.0904,0.0257,0.0669
Nbusc22_09,Nbusc22_48,45093,0.0935,0.0265,0.0684
Nbusc22_09,Nbusc22_53,45408,0.0886,0.0285,0.0493
Nbusc22_09,Nbusc22_57,46927,0.0874,0.0293,0.0459
Nbusc22_09,Nbusc22_63,47367,0.0931,0.0332,0.0487
Nbusc22_09,Nbusc22_65,46149,0.0943,0.0285,0.0522
Nbusc22_11,Nbusc22_41,45180,0.0925,0.0313,0.0502
Nbusc22_11,Nbusc22_42,45918,0.0904,0.0297,0.0562
Nbusc22_11,Nbusc22_44,45546,0.0880,0.0312,0.0473
Nbusc22_11,Nbusc22_45,45507,0.0883,0.0306,0.0481
Nbusc22_11,Nbusc22_47,44441,0.0870,0.0282,0.0508
Nbusc22_11,Nbusc22_48,44113,0.0925,0.0292,0.0563
Nbusc22_11,Nbusc22_63,46187,0.0938,0.0331,0.0492
Nbusc22_11,Nbusc22_65,45237,0.0926,0.0284,0.0519
Nbusc22_12,Nbusc22_34,44557,0.0871,0.0307,0.0447
Nbusc22_12,Nbusc22_40,44224,0.0896,0.0318,0.0463
Nbusc22_12,Nbusc22_41,45534,0.0905,0.0282,0.0649
Nbusc22_12,Nbusc22_45,45986,0.0893,0.0284,0.0551
Nbusc22_12,Nbusc22_47,44808,0.0916,0.0278,0.0694
Nbusc22_12,Nbusc22_48,44568,0.0924,0.0291,0.0648
Nbusc22_12,Nbusc22_63,46850,0.0896,0.0324,0.0442
Nbusc22_13,Nbusc22_34,45062,0.0828,0.0301,0.0448
Nbusc22_14,Nbusc22_46,46147,0.1048,0.0338,0.0605
Nbusc22_14,Nbusc22_51,46731,0.1067,0.0382,0.0498
Nbusc22_14,Nbusc22_52,46740,0.1025,0.0366,0.0501
Nbusc22_14,Nbusc22_53,45857,0.1051,0.0336,0.0601
Nbusc22_14,Nbusc22_60,47814,0.1085,0.0365,0.0488
Nbusc22_14,Nbusc22_61,46317,0.1046,0.0331,0.0671
Nbusc22_14,Nbusc22_62,46937,0.1015,0.0352,0.0553
Nbusc22_14,Nbusc22_64,47647,0.1077,0.0344,0.0550
Nbusc22_14,Nbusc22_65,46739,0.1017,0.0353,0.0477
Nbusc22_15,Nbusc22_46,45526,0.0995,0.0343,0.0544
Nbusc22_15,Nbusc22_51,46393,0.1050,0.0320,0.0716
Nbusc22_15,Nbusc22_52,45930,0.1045,0.0368,0.0449
Nbusc22_15,Nbusc22_53,45273,0.1016,0.0364,0.0515
Nbusc22_15,Nbusc22_54,46412,0.1012,0.0365,0.0472
Nbusc22_15,Nbusc22_60,46985,0.1071,0.0378,0.0490
Nbusc22_15,Nbusc22_61,45578,0.1036,0.0346,0.0577
Nbusc22_15,Nbusc22_64,46846,0.1047,0.0338,0.0573
Nbusc22_15,Nbusc22_65,46106,0.1060,0.0354,0.0602
Nbusc22_16,Nbusc22_34,43922,0.0873,0.0283,0.0501
Nbusc22_16,Nbusc22_41,44768,0.0890,0.0316,0.0479
Nbusc22_16,Nbusc22_45,45083,0.0860,0.0291,0.0529
Nbusc22_16,Nbusc22_47,43857,0.0858,0.0259,0.0624
Nbusc22_16,Nbusc22_48,43659,0.0932,0.0312,0.0559
Nbusc22_16,Nbusc22_63,45879,0.0870,0.0313,0.0445
Nbusc22_16,Nbusc22_65,44826,0.0933,0.0238,0.0630
Nbusc22_18,Nbusc22_46,46035,0.1054,0.0329,0.0613
Nbusc22_18,Nbusc22_51,46681,0.1102,0.0313,0.0761
Nbusc22_18,Nbusc22_53,45584,0.1084,0.0317,0.0724
Nbusc22_18,Nbusc22_54,46939,0.1052,0.0342,0.0572
Nbusc22_18,Nbusc22_60,47401,0.1108,0.0340,0.0736
Nbusc22_18,Nbusc22_61,46086,0.1087,0.0314,0.0717
Nbusc22_18,Nbusc22_62,46444,0.1050,0.0346,0.0478
Nbusc22_18,Nbusc22_64,47412,0.1082,0.0339,0.0694
Nbusc22_18,Nbusc22_65,46489,0.1105,0.0342,0.0679
Nbusc22_19,Nbusc22_46,45322,0.1055,0.0331,0.0647
Nbusc22_19,Nbusc22_51,45801,0.1102,0.0320,0.0763
Nbusc22_19,Nbusc22_53,44910,0.1108,0.0337,0.0696
Nbusc22_19,Nbusc22_54,46085,0.1059,0.0375,0.0506
Nbusc22_19,Nbusc22_60,46655,0.1106,0.0352,0.0690
Nbusc22_19,Nbusc22_61,45380,0.1097,0.0308,0.0780
Nbusc22_19,Nbusc22_62,45833,0.1059,0.0346,0.0548
Nbusc22_19,Nbusc22_64,46529,0.1059,0.0348,0.0608
Nbusc22_19,Nbusc22_65,45839,0.1135,0.0346,0.0736
Nbusc22_20,Nbusc22_46,44327,0.1029,0.0348,0.0592
Nbusc22_20,Nbusc22_51,44931,0.1014,0.0326,0.0627
Nbusc22_20,Nbusc22_53,43871,0.1010,0.0349,0.0546
Nbusc22_20,Nbusc22_54,44989,0.1064,0.0357,0.0596
Nbusc22_20,Nbusc22_60,45474,0.1081,0.0349,0.0609
Nbusc22_20,Nbusc22_61,44283,0.1082,0.0315,0.0750
Nbusc22_20,Nbusc22_62,44612,0.1037,0.0363,0.0460
Nbusc22_20,Nbusc22_64,45460,0.1106,0.0302,0.0837
Nbusc22_20,Nbusc22_65,44739,0.1133,0.0277,0.1012
Nbusc22_21,Nbusc22_46,46001,0.1001,0.0347,0.0524
Nbusc22_21,Nbusc22_51,46518,0.1085,0.0350,0.0662
Nbusc22_21,Nbusc22_53,45482,0.1014,0.0371,0.0444
Nbusc22_21,Nbusc22_61,45921,0.1053,0.0348,0.0648
Nbusc22_21,Nbusc22_62,46472,0.1003,0.0363,0.0470
Nbusc22_21,Nbusc22_65,46348,0.1019,0.0346,0.0554
Nbusc22_22,Nbusc22_41,45567,0.0898,0.0307,0.0527
Nbusc22_22,Nbusc22_48,44461,0.0940,0.0267,0.0754
Nbusc22_22,Nbusc22_49,43133,0.0883,0.0291,0.0522
Nbusc22_23,Nbusc22_40,44974,0.0909,0.0298,0.0511
Nbusc22_23,Nbusc22_41,46500,0.0925,0.0295,0.0581
Nbusc22_23,Nbusc22_44,46830,0.0943,0.0316,0.0574
Nbusc22_23,Nbusc22_45,46624,0.0946,0.0304,0.0623
Nbusc22_23,Nbusc22_48,45357,0.0948,0.0262,0.0726
Nbusc22_23,Nbusc22_59,47087,0.0918,0.0307,0.0553
Nbusc22_23,Nbusc22_63,47608,0.0955,0.0293,0.0693
Nbusc22_23,Nbusc22_64,47123,0.0991,0.0285,0.0555
Nbusc22_23,Nbusc22_65,46379,0.0980,0.0247,0.0764
Nbusc22_24,Nbusc22_46,44969,0.1059,0.0317,0.0671
Nbusc22_24,Nbusc22_51,45655,0.1072,0.0318,0.0666
Nbusc22_24,Nbusc22_53,44613,0.1002,0.0329,0.0494
Nbusc22_24,Nbusc22_54,45634,0.1072,0.0365,0.0537
Nbusc22_24,Nbusc22_60,46196,0.1123,0.0365,0.0651
Nbusc22_24,Nbusc22_61,44920,0.1096,0.0297,0.0756
Nbusc22_24,Nbusc22_64,46006,0.1114,0.0301,0.0864
Nbusc22_24,Nbusc22_65,45432,0.1153,0.0288,0.0928
Nbusc22_25,Nbusc22_46,44249,0.1049,0.0327,0.0663
Nbusc22_25,Nbusc22_51,44817,0.1066,0.0316,0.0674
Nbusc22_25,Nbusc22_53,43930,0.1071,0.0316,0.0719
Nbusc22_25,Nbusc22_54,45053,0.1124,0.0359,0.0681
Nbusc22_25,Nbusc22_60,45508,0.1095,0.0356,0.0657
Nbusc22_25,Nbusc22_61,44241,0.1104,0.0296,0.0824
Nbusc22_25,Nbusc22_62,44758,0.1041,0.0348,0.0445
Nbusc22_25,Nbusc22_64,45278,0.1120,0.0276,0.0964
Nbusc22_25,Nbusc22_65,44931,0.1139,0.0286,0.0976
Nbusc22_26,Nbusc22_42,46407,0.1315,0.0120,0.1836
Nbusc22_26,Nbusc22_43,45293,0.1264,0.0153,0.1646
Nbusc22_26,Nbusc22_44,46123,0.1404,0.0090,0.2160
Nbusc22_26,Nbusc22_45,45960,0.1317,0.0106,0.1920
Nbusc22_26,Nbusc22_46,45161,0.1479,0.0124,0.2168
Nbusc22_26,Nbusc22_47,44849,0.1159,0.0063,0.1745
Nbusc22_26,Nbusc22_51,45445,0.1043,0.0341,0.0566
Nbusc22_26,Nbusc22_53,44850,0.1461,0.0142,0.2090
Nbusc22_26,Nbusc22_54,45834,0.1218,0.0167,0.1540
Nbusc22_26,Nbusc22_55,45957,0.1022,0.0200,0.0933
Nbusc22_26,Nbusc22_57,46173,0.0969,0.0279,0.0544
Nbusc22_26,Nbusc22_58,46083,0.0979,0.0196,0.0844
Nbusc22_26,Nbusc22_59,46328,0.1113,0.0148,0.1333
Nbusc22_26,Nbusc22_60,46503,0.1302,0.0147,0.1763
Nbusc22_26,Nbusc22_61,44972,0.1058,0.0315,0.0670
Nbusc22_26,Nbusc22_63,46618,0.0969,0.0223,0.0758
Nbusc22_26,Nbusc22_64,46442,0.1407,0.0151,0.1920
Nbusc22_26,Nbusc22_65,45345,0.1082,0.0326,0.0721
Nbusc22_27,Nbusc22_48,42917,0.0893,0.0303,0.0459
Nbusc22_27,Nbusc22_49,41726,0.0906,0.0290,0.0505
Nbusc22_27,Nbusc22_51,44289,0.1051,0.0330,0.0622
Nbusc22_27,Nbusc22_52,44004,0.1031,0.0335,0.0642
Nbusc22_27,Nbusc22_61,43684,0.1033,0.0363,0.0495
Nbusc22_27,Nbusc22_65,44134,0.1020,0.0353,0.0455
Nbusc22_30,Nbusc22_34,42657,0.0814,0.0261,0.0502
Nbusc22_30,Nbusc22_37,42263,0.0841,0.0264,0.0516
Nbusc22_30,Nbusc22_41,43499,0.0914,0.0285,0.0668
Nbusc22_30,Nbusc22_47,42728,0.0875,0.0301,0.0520
Nbusc22_30,Nbusc22_48,42412,0.0839,0.0286,0.0517
Nbusc22_30,Nbusc22_49,41347,0.0875,0.0280,0.0561
Nbusc22_30,Nbusc22_65,43530,0.0954,0.0205,0.0826
Nbusc22_32,Nbusc22_34,45327,0.1122,0.0057,0.1780
Nbusc22_32,Nbusc22_36,44980,0.1121,0.0059,0.1725
Nbusc22_32,Nbusc22_37,44790,0.1075,0.0051,0.1687
Nbusc22_32,Nbusc22_40,44707,0.1142,0.0050,0.1826
Nbusc22_32,Nbusc22_41,46267,0.1163,0.0064,0.1861
Nbusc22_32,Nbusc22_46,45564,0.1105,0.0290,0.0928
Nbusc22_32,Nbusc22_47,45148,0.0931,0.0273,0.0557
Nbusc22_32,Nbusc22_48,44984,0.1143,0.0049,0.1865
Nbusc22_32,Nbusc22_51,45960,0.1049,0.0378,0.0505
